name,direction,number,email,rating,comments,open_hours,type,key_words,photo_urls
Cerveseria Catalana,"Carrer de Mallorca, 236, Barcelona, B, 08008, ES",+34932160368,,4.3,,,Spanish,['Spanish'],[]
Ciutat Comtal,"Rambla de Catalunya, 18, Barcelona, B, 08007, ES",+34933181997,,4.3,,,"Tapas Bars, Spanish, Catalan",['Tapas Bars' 'Spanish' 'Catalan'],[]
Vinitus,"Carrer Del Consell de Cent, 333, Barcelona, B, 08007, ES",+34933632127,,4.6,,,Tapas Bars,['Tapas Bars'],[]
Taquerías Tamarindo,"Carrer de Aragón, 236, Barcelona, B, 08007, ES",+34930023774,,4.4,,,"Mexican, Tapas Bars",['Mexican' 'Tapas Bars'],[]
Tapeo,"Carrer de Montcada, 29, Barcelona, B, 08003, ES",+34933101607,,4.5,,,"Tapas Bars, Catalan",['Tapas Bars' 'Catalan'],[]
My Fucking Restaurant,"Carrer Nou de la Rambla, 35, Barcelona, B, 08001, ES",+34936397827,,4.4,,,"Catalan, Signature Cuisine",['Catalan' 'Signature Cuisine'],[]
El Asador de Aranda,"Calle Pau Claris, 70, Barcelona, B, 08010, ES",+34933425577,,4.7,,,Steakhouses,['Steakhouses'],[]
Le Romane,"Carrer de Muntaner, 103, Barcelona, B, 08011, ES",+34937069803,,4.9,,,Italian,['Italian'],[]
La Taverneta,"Carrer de Francesc Pujols, 6, Barcelona, B, 08002, ES",+34930111147,,4.9,,,"Mediterranean, Catalan, Tapas Bars",['Mediterranean' 'Catalan' 'Tapas Bars'],[]
Arcano Restaurant Barcelona ,"Carrer dels Mercaders, 10, Barcelona, B, 08003, ES",+34932956467,,4.5,,,"Spanish, Signature Cuisine, Specialty Food",['Spanish' 'Signature Cuisine' 'Specialty Food'],[]
Sensi,"Carrer Ample, 26, Barcelona, B, 08002, ES",+34932956588,,4.4,,,"Tapas/Small Plates, Tapas Bars, Cocktail Bars",['Tapas/Small Plates' 'Tapas Bars' 'Cocktail Bars'],[]
Bodega Biarritz 1881,"Carrer del Vidre, 8, Barcelona, B, 08002, ES",+34618677927,,4.5,,,"Bars, Spanish",['Bars' 'Spanish'],[]
Micu Maku ,"Carrer d'Aribau, 22, Barcelona, B, 08011, ES",+34931584198,,4.6,,,"Arroceria / Paella, Tapas Bars, Cocktail Bars",['Arroceria / Paella' 'Tapas Bars' 'Cocktail Bars'],[]
TAPS,"Carrer de Mare de Deu del Remei, 53, Barcelona, B, 08004, ES",+34930061039,,4.8,,,"Tapas Bars, Beer Bar",['Tapas Bars' 'Beer Bar'],[]
Cañete,"Carrer de la Unió, 17, Barcelona, B, 08001, ES",+34932703458,,4.6,,,"Tapas/Small Plates, Tapas Bars, Spanish",['Tapas/Small Plates' 'Tapas Bars' 'Spanish'],[]
CocoVail Beer Hall Barcelona,"Carrer d'Arago, 284, Barcelona, B, 08009, ES",+34937822479,,4.4,,,"Beer Bar, Burgers, Sandwiches",['Beer Bar' 'Burgers' 'Sandwiches'],[]
Guell,"Calle Nou de la Rambla, 20, Barcelona, B, 08001, ES",+34934122570,,4.5,,,"Tapas/Small Plates, Spanish",['Tapas/Small Plates' 'Spanish'],[]
La Pepita,"Carrer de Còrsega, 343, Barcelona, B, 08037, ES",+34932384893,,4.6,,,"Tapas Bars, Pubs",['Tapas Bars' 'Pubs'],[]
El Macareno,"Carrer de les Sitges, 10, Barcelona, B, 08001, ES",+34933181586,,4.8,,,"Bars, Tapas/Small Plates",['Bars' 'Tapas/Small Plates'],[]
La Flauta,"Carrer d'Aribau, 23, Barcelona, B, 08011, ES",+34933237038,,4.3,,,"Spanish, Tapas/Small Plates",['Spanish' 'Tapas/Small Plates'],[]
The Venue Steakhouse,"Carrer del Rosselló, 365, Barcelona, B, 08025, ES",+34936399675,,4.7,,,Steakhouses,['Steakhouses'],[]
Takumi Ramen,"Carrer de Balmes, 59, Barcelona, B, 08007, ES",+34936250814,,4.5,,,Ramen,['Ramen'],[]
Toc De Gralla,"Carrer d'Aribau, 65, Barcelona, B, 08011, ES",+34696960987,,4.8,,,Spanish,['Spanish'],[]
Babula,"Carrer de Pau Claris, 139, Barcelona, B, 08009, ES",+34933826096,,4.8,,,"Cocktail Bars, Tapas Bars",['Cocktail Bars' 'Tapas Bars'],[]
9 Nine,"Carrer València, 334, Barcelona, B, 08009, ES",+34936763222,,4.9,,,"Mediterranean, Steakhouses",['Mediterranean' 'Steakhouses'],[]
Salterio,"Carrer de Sant Domènec del Call, 4, Barcelona, B, 08002, ES",+34933025028,,4.8,,,"Tea Rooms, Mediterranean",['Tea Rooms' 'Mediterranean'],[]
Casa Lolea,"Carrer de Sant Pere Mes Alt, 49, Barcelona, B, 08003, ES",+34936241016,,4.6,,,Tapas/Small Plates,['Tapas/Small Plates'],[]
Somorrostro,"Carrer de Sant Carles, 11, Barcelona, B, 08003, ES",+34932250010,,4.4,,,"Catalan, Seafood",['Catalan' 'Seafood'],[]
Brunch & Cake,"Carrer d'Enric Granados, 19, Barcelona, B, 08007, ES",+34931383572,,4.2,,,"Breakfast & Brunch, Desserts, Acai Bowls",['Breakfast & Brunch' 'Desserts' 'Acai Bowls'],[]
Telefèric,"Plaça Doctor Letamendi, 27, Barcelona, B, 08007, ES",+34934511641,,4.2,,,"Tapas/Small Plates, Spanish, Tapas Bars",['Tapas/Small Plates' 'Spanish' 'Tapas Bars'],[]
Chao Pescao,"Carrer del Consell de Cent, 318, Barcelona, B, 08007, ES",+34931640589,,4.3,,,Seafood,['Seafood'],[]
Cera 23,"Carrer de la Cera, 23, Barcelona, B, 08001, ES",+34934420808,,4.7,,,"Spanish, Modern European",['Spanish' 'Modern European'],[]
Kasarap,"Carrer del Consell de Cent, 141, Barcelona, B, 08015, ES",+34634885693,,4.8,,,Filipino,['Filipino'],[]
Arume,"Carrer d'En Botella, 11, Barcelona, B, 08007, ES",+34933154872,,4.6,,,"Mediterranean, Tapas Bars, Galician",['Mediterranean' 'Tapas Bars' 'Galician'],[]
Macchina,"Carrer de Balmes, 12, Barcelona, B, 08007, ES",+34938072067,,4.3,,,"Bars, Italian",['Bars' 'Italian'],[]
2254,"Consell de Cent, 335, Barcelona, B, 08007, ES",+34935286002,,4.5,,,"French, Catalan, Italian",['French' 'Catalan' 'Italian'],[]
La Alcoba Azul,"Carrer de Sant Domenec del Call, 14, Barcelona, B, 08002, ES",+34933028141,,4.6,,,"Tapas Bars, Cocktail Bars",['Tapas Bars' 'Cocktail Bars'],[]
Paco Alcalde,"Carrer de l'Almirall Aixada, 12, Barcelona, B, 08003, ES",+34932215026,,4.3,,,"Seafood, Spanish",['Seafood' 'Spanish'],[]
Story,"Carrer del Pou de la Cadena, 8, Barcelona, B, 08003, ES",+34930114965,,4.7,,,"Mediterranean, Cocktail Bars",['Mediterranean' 'Cocktail Bars'],[]
La Guapa,"Carrer del Comte d'Urgell, 146, Barcelona, B, 08011, ES",+34660539144,,4.6,,,"Vermouth Bars, Tapas Bars",['Vermouth Bars' 'Tapas Bars'],[]
Milk Bar & Bistro,"Carrer d'en Gignàs, 21, Barcelona, B, 08002, ES",+34932680922,,4.5,,,"American, Spanish, Cocktail Bars",['American' 'Spanish' 'Cocktail Bars'],[]
La Esquina,"Carrer de Bergara, 2, Barcelona, B, 08002, ES",+34937687242,,4.5,,,"Mediterranean, Tapas/Small Plates, Bars",['Mediterranean' 'Tapas/Small Plates' 'Bars'],[]
Boa-Bao,"Plaça del Dr. Letamendi, 1, Barcelona, B, 08007, ES",+34934544332,,4.3,,,"Cocktail Bars, Asian Fusion",['Cocktail Bars' 'Asian Fusion'],[]
Ziryab Fusion Tapas Bar,"Carrer de Grunyí, 5, Barcelona, B, 08003, ES",+34931874210,,4.9,,,"Tapas/Small Plates, Mediterranean, Tabernas",['Tapas/Small Plates' 'Mediterranean' 'Tabernas'],[]
El Pachuco,"Carrer de Sant Pau, 110, Barcelona, B, 08001, ES",+34931796805,,4.6,,,Mexican,['Mexican'],[]
Pirineu en Boca,"Carrer de Girona, 17, Barcelona, B, 08010, ES",+34931296987,,4.5,,,Spanish,['Spanish'],[]
Restaurant La Tasqueta de Blai,"Carrer de Blai, 17, Barcelona, B, 08004, ES",+34930130318,,4.5,,,"Tapas Bars, Tabernas, Tapas/Small Plates",['Tapas Bars' 'Tabernas' 'Tapas/Small Plates'],[]
Bo de Boqueria,"Carrer Petxina, 5-7, Barcelona, B, 08001, ES",+34635051511,,4.5,,,"Spanish, Mediterranean",['Spanish' 'Mediterranean'],[]
La Paella de Su,"Avinguda Diagonal, 436, Barcelona, B, 08037, ES",+34931545011,,4.2,,,Arroceria / Paella,['Arroceria / Paella'],[]
Paisano Bistró ,"Carrer de Lepant, 277, Barcelona, B, 08013, ES",+34935250471,,4.8,,,"Cafeteria, Italian, Mediterranean",['Cafeteria' 'Italian' 'Mediterranean'],[]
